% Model:              phononic_alp0(thickness200,r85,isotrope,full_FBZ).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 3 2024, 18:46
% Dimension:          1
% Nodes:              14641
% Expressions:        8
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
-1.5707963267948963E7,4.1581307127608953E9,8.553894998550938E9,9.755989931252966E9,1.1085204403751308E10,1.2307452220286444E10,1.2327148600157427E10,1.3428624742151953E10,1.8293395092292297E10
-1.5707963267948963E7,4.265906745725874E9,8.430678457695944E9,9.73142223531968E9,1.1140476598752054E10,1.2142524065270092E10,1.2416302687735296E10,1.340091263242097E10,1.824539746673116E10
-1.5707963267948963E7,4.377187615168533E9,8.309581677928846E9,9.707575727395178E9,1.1196667867364666E10,1.1970822528713753E10,1.2499613830879963E10,1.33714695547744E10,1.8197972370776073E10
-1.5707963267948963E7,4.491612749821901E9,8.190771216005119E9,9.684465456101486E9,1.1253700366523895E10,1.1792837600433022E10,1.2576676599314747E10,1.3340306114880777E10,1.8151159695352573E10
-1.5707963267948963E7,4.608843689850167E9,8.074413092875307E9,9.662099832610294E9,1.1311499346331238E10,1.1609043608008076E10,1.2647096918518904E10,1.330743363225508E10,1.8104996682113483E10
-1.5707963267948963E7,4.728563369871204E9,7.9606725288978615E9,9.640482113608984E9,1.1369991687932356E10,1.1419898198134348E10,1.2710500540806313E10,1.3272864192701326E10,1.8059518227177788E10
-1.5707963267948963E7,4.850475073339922E9,7.84971355404465E9,9.61961152106107E9,1.1225841971974575E10,1.142910479962539E10,1.2766542468709736E10,1.3236610716498165E10,1.8014757162560448E10
-1.5707963267948963E7,4.974301167034831E9,7.74169848852305E9,9.599484100351099E9,1.1027298674478844E10,1.1488765769011719E10,1.2814916992667488E10,1.3198687045028948E10,1.797074453832794E10
-1.5707963267948963E7,5.099781699914582E9,7.636787289158388E9,9.58009338736354E9,1.0824675843818365E10,1.1548900700129768E10,1.285536787888903E10,1.3159108048907629E10,1.7927509771050568E10
-1.5707963267948963E7,5.226672929372701E9,7.535136757469601E9,9.561430934123074E9,1.0618365837271942E10,1.1609434185559616E10,1.2887698140199478E10,1.3117889761057814E10,1.788508087831952E10
-1.5707963267948963E7,5.354745820086571E9,7.436899606598606E9,9.543486728348839E9,1.0408747162304075E10,1.167028887792258E10,1.2911778765126345E10,1.3075049538691113E10,1.7843484631432995E10
-1.5707963267948963E7,5.483784546031266E9,7.342223386104452E9,9.526249532402283E9,1.0196186054814491E10,1.1731385135251657E10,1.2927555787855705E10,1.3030606258705076E10,1.7802746678845295E10
-1.5707963267948963E7,5.613585014479547E9,7.251249266118911E9,9.50970716022371E9,9.98103825967461E9,1.1792640721846052E10,1.2935055164516123E10,1.2984580551729292E10,1.776289170226184E10
-1.5707963267948963E7,5.743953421411944E9,7.164110685466404E9,9.493846705970875E9,9.763650981086132E9,1.1853970551384438E10,1.2934385076769516E10,1.2936995080898409E10,1.772394350640166E10
-1.5707963267948963E7,5.874704840268972E9,7.080931872058546E9,9.478654734592873E9,9.54436498167689E9,1.1915286462904953E10,1.2887874872479933E10,1.2925735494243471E10,1.7685925129219334E10
-1.5707963267948963E7,6.0056618399202E9,7.001826248128126E9,9.323516819455853E9,9.464117442055403E9,1.197649702319646E10,1.2837247706771528E10,1.2909375063001226E10,1.76488589257085E10
-1.5707963267948963E7,6.136653122688783E9,6.926894737582759E9,9.101441220745579E9,9.450220791099295E9,1.2037507351476583E10,1.2785144579267662E10,1.2885645612226215E10,1.7612766641560238E10
-1.5707963267948963E7,6.26751216887141E9,6.856223997814462E9,8.878473595072905E9,9.436950627060024E9,1.2098218964171116E10,1.2731600244053873E10,1.2854954752294842E10,1.757766948639514E10
-1.5707963267948963E7,6.398075870123389E9,6.789884603540884E9,8.654952704748415E9,9.424292777275318E9,1.2158529639297623E10,1.2676653853803888E10,1.2817767151043388E10,1.7543588134388435E10
-1.5707963267948963E7,6.528183129999631E9,6.727929215501548E9,8.431223507540955E9,9.412233136850037E9,1.2218333301494955E10,1.2620349713730753E10,1.277459511223807E10,1.7510542843364017E10
-1.5707963267948963E7,6.657673405630059E9,6.670390771887646E9,8.207640195401062E9,9.400757742980394E9,1.227751993021151E10,1.2562738170508505E10,1.2725989046325935E10,1.7478553426915813E10
-1.5707963267948963E7,6.617280745053675E9,6.786385159652657E9,7.984569455415545E9,9.389852839603539E9,1.2335975495000036E10,1.2503876661663149E10,1.2672528334668627E10,1.7447639291306744E10
-1.5707963267948963E7,6.568587510177261E9,6.914154185940282E9,7.762393980759979E9,9.379504933803383E9,1.239358192330906E10,1.2443830956390375E10,1.2614812966272495E10,1.7417819422888073E10
-1.5707963267948963E7,6.52427487595058E9,7.040811766080018E9,7.541516258781931E9,9.36970084514362E9,1.238267662533457E10,1.245021710759952E10,1.2553456192210255E10,1.7389112438158092E10
