% Model:              phononic_alp0(thickness200,r85,isotrope,50eigenvalues-Size60).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 1 2024, 13:54
% Dimension:          1
% Nodes:              1891
% Expressions:        50
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
9162978.572970232,2.9278838184394436E9,3.53180380972327E9,8.655371626525328E9,1.0364426078272518E10,1.0625812159754425E10,1.1006719595665022E10,1.510202078127932E10,1.715992654739774E10,1.8000894578623158E10,1.8824133727992382E10,1.9831156878912926E10,2.1979463404957405E10,2.2271591685899006E10,2.303507675730424E10,2.3699992818590446E10,2.370976389716251E10,2.429040159200225E10,2.5005528297711628E10,2.507564380979408E10,2.7471444854481625E10,2.759567667347902E10,2.8058736925372177E10,2.877443848912909E10,3.0097739228384315E10,3.0198859546399593E10,3.0782001401346985E10,3.128863736293653E10,3.1682134732973255E10,3.1808725659359932E10,3.2861197211481865E10,3.3011463082124718E10,3.3527225694729816E10,3.438056542985613E10,3.487439936246469E10,3.576200997663299E10,3.613621443174247E10,3.764386418785151E10,3.770502820270743E10,3.78569481380644E10,3.862272143019831E10,3.971319766297422E10,3.994518125175588E10,4.030370973458641E10,4.0682869410523346E10,4.082961826600443E10,4.17346069244542E10,4.2439715903573425E10,4.246039541256109E10,4.311412221069969E10,4.370056155901351E10
9424777.96076938,3.010975249400941E9,3.6807883015123525E9,8.844334089948847E9,1.0384502931508038E10,1.0623126241351284E10,1.0876964151355165E10,1.4988548094747808E10,1.7147903343281746E10,1.798716129647175E10,1.8880015555439644E10,1.9860033625097107E10,2.1956312541870144E10,2.233850833760272E10,2.296833010076088E10,2.370452947426377E10,2.380445183664568E10,2.4305433438927677E10,2.500037859239827E10,2.518166146861551E10,2.7468328954005825E10,2.75877971462458E10,2.804071037352931E10,2.8776873824685406E10,3.0074638989418667E10,3.0240558823199516E10,3.062225517722521E10,3.131853169006663E10,3.16530452484142E10,3.1741377800261158E10,3.299848243756138E10,3.3150676024162243E10,3.3493010490337326E10,3.449224936468604E10,3.476514294818247E10,3.573232344146481E10,3.605548291450908E10,3.763304964866116E10,3.77008033579095E10,3.7870556974997284E10,3.859671284866993E10,3.957826887395258E10,3.98829521909985E10,4.034972378655172E10,4.065101554797395E10,4.076924255261344E10,4.179779441771555E10,4.240860602864242E10,4.2416249069258575E10,4.30730590079249E10,4.37147062845848E10
9686577.348568529,3.0937070542435174E9,3.8296007763665648E9,9.02706753439824E9,1.0392395599898258E10,1.0628305222681057E10,1.0749648719941067E10,1.4876556889059778E10,1.7136770843307865E10,1.797550859058554E10,1.8937142929309364E10,1.9890920626043224E10,2.1932293261242542E10,2.2406608256094036E10,2.288448492039058E10,2.371020140173486E10,2.3915269151086147E10,2.4319972514499763E10,2.4996125926942554E10,2.5285024977822174E10,2.7464924568857815E10,2.7580664764801167E10,2.802334409250962E10,2.8779331527100006E10,3.0049806800186214E10,3.028343360426125E10,3.045141746033697E10,3.1348589326401993E10,3.1493601553524857E10,3.1817099619314648E10,3.3139917932493656E10,3.328997605948499E10,3.345965011281596E10,3.4593959632772415E10,3.4666690360558945E10,3.5696378692734695E10,3.598226937787912E10,3.76224855813655E10,3.769607870817562E10,3.788545713206873E10,3.857057972100613E10,3.944036164718596E10,3.980928463761458E10,4.039370873325879E10,4.06319496518309E10,4.0692648983025925E10,4.186256442556168E10,4.23261880472013E10,4.240644331930762E10,4.306037279634381E10,4.372937059302021E10
9948376.736367678,3.17595124301266E9,3.9780170350469613E9,9.20300615119177E9,1.0384994734390688E10,1.0625276239910755E10,1.0644559455980688E10,1.476613744135642E10,1.7126552459594084E10,1.7965832726993423E10,1.899550733445646E10,1.992385547639946E10,2.1907398863954643E10,2.2475576343950623E10,2.2792138573238995E10,2.371718056086442E10,2.4033424031440125E10,2.4334077268660694E10,2.499279392552271E10,2.5385437866436455E10,2.7461236618711857E10,2.7574276608745125E10,2.8006695829428753E10,2.8781828682154995E10,3.0021650805400917E10,3.027793351174381E10,3.0327492764456356E10,3.133276868186206E10,3.1379082937399944E10,3.190253079689009E10,3.327861265473015E10,3.3428918772264698E10,3.3431785468686604E10,3.4539366011831894E10,3.472543484433244E10,3.5651100602461235E10,3.5919912904372475E10,3.7612135047650986E10,3.76907538923125E10,3.790174914728943E10,3.854441816036737E10,3.930159698063439E10,3.972498806730346E10,4.043559394650095E10,4.060195005051655E10,4.0623263373372894E10,4.192883499056046E10,4.222114834865514E10,4.240833076680766E10,4.3068098201082344E10,4.374452266431208E10
1.0210176124166828E7,3.2575654751796303E9,4.125802281501173E9,9.3712903488438E9,1.0362970953118279E10,1.050465574447051E10,1.0671355181247284E10,1.465738655797771E10,1.7117262244292946E10,1.7958012189640682E10,1.905509752033385E10,1.995886548571407E10,2.1881615271575294E10,2.2545034273489357E10,2.269549289134077E10,2.372567075459228E10,2.4154508054665764E10,2.43477718852494E10,2.4990408317022335E10,2.54826386253715E10,2.745726182126159E10,2.7568634186175903E10,2.7990822296094887E10,2.878437097747475E10,2.998143352423146E10,3.011424819723588E10,3.0372725688233025E10,3.1171819549462242E10,3.1410174602011604E10,3.1994134096554356E10,3.3356407873968193E10,3.346644213311606E10,3.3566710622343655E10,3.443580526117875E10,3.483449073246874E10,3.559463951429132E10,3.5870537648956375E10,3.760195182765181E10,3.768470502879211E10,3.791951454152566E10,3.851831034761222E10,3.916300799671466E10,3.9632195437192474E10,4.047532874807143E10,4.049953523529732E10,4.0622361945910645E10,4.199647179238032E10,4.210156044378814E10,4.241971898064987E10,4.3088213694831566E10,4.376013412031858E10
1.0471975511965977E7,3.338391579333564E9,4.272708077149736E9,9.530336224193874E9,1.0329284851242096E10,1.038933638629104E10,1.07059023820845E10,1.4550409272440655E10,1.7108904485848763E10,1.795191092854889E10,1.9115899255256123E10,1.9995965513620502E10,2.185491945835782E10,2.259669835187073E10,2.261453358511991E10,2.3735912300884583E10,2.4276149662499977E10,2.4361058878768764E10,2.498899864281974E10,2.5576389291600956E10,2.7452987385251938E10,2.756374349735184E10,2.7975778276523388E10,2.878694562663089E10,2.987985601429772E10,3.0011900035464397E10,3.0419082181078804E10,3.1011598457537727E10,3.1441972667761642E10,3.2089895377742767E10,3.333520088604591E10,3.360105299862775E10,3.3701534571760414E10,3.433459419164979E10,3.4944035152969345E10,3.552807211347271E10,3.583335472459653E10,3.759187767425569E10,3.7677777912797844E10,3.7938787733017876E10,3.8492323780821625E10,3.902533639925224E10,3.953308082411895E10,4.038771904848694E10,4.0512909663468346E10,4.0626996373876144E10,4.19730575085036E10,4.206529004237459E10,4.243851968760689E10,4.311514453527518E10,4.377617890242402E10
1.0733774899765128E7,3.4182540090525947E9,4.418468795904125E9,9.676422752321964E9,1.0283023877579687E10,1.0286755948251425E10,1.074558368795309E10,1.4445320844175745E10,1.7101473430209105E10,1.7947381697069874E10,1.9177894963652843E10,2.0035155606011402E10,2.1827277470165882E10,2.2496947617265697E10,2.2683550403822613E10,2.3748184786266468E10,2.437392630474519E10,2.439691605295189E10,2.498860267098087E10,2.5666469893520123E10,2.7448389414469822E10,2.755961505437966E10,2.7961615529706783E10,2.878950645820522E10,2.9719224767653603E10,2.997014154837841E10,3.0466396858684982E10,3.0852846633033985E10,3.147455943600246E10,3.21885364872648E10,3.3300924916737293E10,3.374922725050854E10,3.382777344294231E10,3.424280094587213E10,3.505229999110681E10,3.545456829233884E10,3.580549779623282E10,3.758183895048201E10,3.766977909046682E10,3.7959497785524055E10,3.846650992006918E10,3.8889317203951584E10,3.9429495270046265E10,4.026863543577011E10,4.054830900113663E10,4.0635419296270546E10,4.183911424030828E10,4.213504845838398E10,4.246293906476586E10,4.314547872751472E10,4.379263263061034E10
1.0995574287564276E7,3.4969582624832845E9,4.562797477675036E9,9.798096377729502E9,1.0197179592131062E10,1.0237370096894772E10,1.0788644941575386E10,1.4342249132343863E10,1.7094953154490732E10,1.79442693639135E10,1.9241063207835255E10,2.0076418461550766E10,2.1798641698481483E10,2.2396963149466717E10,2.275148388568032E10,2.37628058689289E10,2.438635207522867E10,2.451581476097353E10,2.49892779466171E10,2.5752676170093525E10,2.7443430939999428E10,2.7556263811113647E10,2.79483814801366E10,2.8791939972662487E10,2.9550875657557697E10,2.993891158771935E10,3.051382934287047E10,3.06968699944344E10,3.150800328181867E10,3.2289149787836895E10,3.326415216810388E10,3.390003794981612E10,3.3921643921578022E10,3.4184526820674458E10,3.51586469712041E10,3.537735329665411E10,3.578406329318549E10,3.75717423948885E10,3.766046416999119E10,3.798133935727923E10,3.8440902086295784E10,3.875589167509606E10,3.9322947348979485E10,4.014410989706096E10,4.058154788388736E10,4.064633967164228E10,4.1701846264502464E10,4.220542931443985E10,4.249156166042022E10,4.317716731770509E10,4.380947206879024E10
1.1257373675363425E7,3.574289309409274E9,4.705380962967247E9,9.858812229789967E9,1.0168383008892717E10,1.0182482638848637E10,1.0833990282790918E10,1.4241337432061232E10,1.708931761996174E10,1.7942414098193375E10,1.9305377957901855E10,2.0119716763026157E10,2.17689467519448E10,2.229722714994495E10,2.2817661609502674E10,2.378012298504441E10,2.4398306633808815E10,2.4632032601563076E10,2.4991135337970966E10,2.5834819218595222E10,2.7438059507487537E10,2.7553708932916E10,2.7936117702952267E10,2.8793977935459225E10,2.9384752897249466E10,2.9909525009611954E10,3.0526207650884754E10,3.0579246975888184E10,3.1542363720236168E10,3.239101804763359E10,3.3226177827459984E10,3.392174965580861E10,3.4051884700731697E10,3.4221326193303383E10,3.5262588912925E10,3.529882259469203E10,3.576699826420881E10,3.756146968481721E10,3.764952264002952E10,3.800345975331921E10,3.841551243422523E10,3.862655740434921E10,3.9214691093217186E10,4.001572435930381E10,4.061265002357744E10,4.0658818375699615E10,4.156258773945269E10,4.227599384465841E10,4.252338799395217E10,4.320894865298192E10,4.38266744798679E10
1.1519173063162575E7,3.6500100906944494E9,4.845874178782344E9,9.826804660619286E9,1.0123093350852636E10,1.0228464671822535E10,1.0880905826995438E10,1.4142747873759487E10,1.7084530928592009E10,1.7941654343119186E10,1.9370807566431805E10,2.016499040583585E10,2.1738102584536343E10,2.2198101249611748E10,2.2881356136005642E10,2.380049381699624E10,2.440975465320419E10,2.4744703379126938E10,2.4994457290512512E10,2.5912726303474785E10,2.7432204284341682E10,2.755197330123251E10,2.79248582318797E10,2.8794927869969887E10,2.9223982666080887E10,2.98804664980359E10,3.0383988876875343E10,3.061989388115443E10,3.157769312903593E10,3.2493518697105644E10,3.3187333184946877E10,3.3849895711827484E10,3.4204150397038998E10,3.4331511399847397E10,3.52206153605389E10,3.536366768194163E10,3.575303119953952E10,3.755087037381574E10,3.763655851077777E10,3.802361574636749E10,3.839032779246053E10,3.8504230054465996E10,3.910583021953745E10,3.988486289070393E10,4.064164908531429E10,4.067216735281305E10,4.142223043549021E10,4.234609212576126E10,4.255788660491539E10,4.324001425912966E10,4.384421669616317E10
1.1780972450961724E7,3.7238601816494274E9,4.983893441277317E9,9.748625474464478E9,1.0060024414848375E10,1.033097113765641E10,1.0928880803126741E10,1.4046665497925957E10,1.7080547802674957E10,1.7941829514195538E10,1.94373133231637E10,2.0212153639436333E10,2.1705982025785694E10,2.2099900052510563E10,2.294181706157127E10,2.382425131097495E10,2.4420656121604145E10,2.4852259531875397E10,2.5000284680017174E10,2.5986242331275036E10,2.742577275124421E10,2.7551082600316013E10,2.791462774677691E10,2.8792592676808247E10,2.9072042310040764E10,2.985135905986626E10,3.0235531008149914E10,3.067080689115217E10,3.1614036593996246E10,3.2596068399349174E10,3.314774592534711E10,3.375957450381489E10,3.4356417268136772E10,3.446169342890826E10,3.514388868024098E10,3.546142779866097E10,3.57414072992038E10,3.753975267786013E10,3.7621066487642914E10,3.8035751632743576E10,3.836530418369548E10,3.83956749342962E10,3.899741202755386E10,3.975277984168313E10,4.066858565545337E10,4.068586671642369E10,4.1281418928157295E10,4.241469319752268E10,4.2595118185325424E10,4.326982453160132E10,4.386207371077653E10
1.2042771838760873E7,3.7955547433626146E9,5.119008651941664E9,9.658880896460531E9,9.994022358638037E9,1.0441430670376038E10,1.0977505268671232E10,1.3953303122605474E10,1.707731430008792E10,1.7942782378954826E10,1.950484739979055E10,2.0261092094970478E10,2.1672396308058487E10,2.2002952076662792E10,2.299832079182623E10,2.3851651187022182E10,2.4430967030719532E10,2.4947053463224243E10,2.5015759852543427E10,2.6055231621376495E10,2.7418647264042E10,2.7551063770585102E10,2.790543973266276E10,2.877725413706964E10,2.893963792506876E10,2.982213889179904E10,3.00900901348552E10,3.072307224157982E10,3.165143036036609E10,3.269808776306521E10,3.3107497135632545E10,3.3665144268438282E10,3.4508273335382774E10,3.45976109565103E10,3.506954076267881E10,3.5555412186226616E10,3.573169318111926E10,3.752787150956349E10,3.760240453887567E10,3.802479634808786E10,3.8316714212019966E10,3.83403599853456E10,3.8890506930135635E10,3.962066963312869E10,4.069350479393089E10,4.069948876198414E10,4.114067919224662E10,4.248012311797508E10,4.2635954945298225E10,4.329800745265727E10,4.388021659816004E10
1.2304571226560025E7,3.8647839238420377E9,5.250734305749999E9,9.567834971291374E9,9.925817394745117E9,1.0549751763895046E10,1.1026410987777832E10,1.386290711161457E10,1.7074768768868593E10,1.794436109567299E10,1.9573349890348793E10,2.0311659582373066E10,2.1637043385943737E10,2.190767633052782E10,2.3050234815368896E10,2.388280540329405E10,2.4440639802509453E10,2.4990735274029297E10,2.5078726849688404E10,2.6119579655347805E10,2.7410682222743984E10,2.7551942534806873E10,2.7897294740611023E10,2.8712062348806774E10,2.8864522315064117E10,2.9792871186456898E10,2.9948674671530956E10,3.077601567552823E10,3.1689898887349316E10,3.2798976502112404E10,3.3066675276543392E10,3.3570389438894814E10,3.465913148418204E10,3.4735572132340034E10,3.499843832438985E10,3.564516633330238E10,3.572367016363441E10,3.751491320168483E10,3.7579766257950554E10,3.797201000570062E10,3.828688067631887E10,3.831536814390616E10,3.878627392430623E10,3.948973545348673E10,4.071256954687837E10,4.071645396697197E10,4.100057256701958E10,4.253993351971909E10,4.268217633891711E10,4.332430266355736E10,4.389860955343284E10
1.2566370614359174E7,3.931212912026674E9,5.378519324805669E9,9.478978652168844E9,9.856160696480776E9,1.065265497187345E10,1.1075234873729967E10,1.3775764113146093E10,1.7072843034380276E10,1.7946420906913E10,1.9642744479926987E10,2.0363674362978153E10,2.1599391343791527E10,2.181471929702112E10,2.3097085137361984E10,2.3917613246404762E10,2.4449623565539608E10,2.500267258564097E10,2.516929724219743E10,2.6179194510012287E10,2.740170343196E10,2.755373961448931E10,2.7890178917224937E10,2.85975782594622E10,2.8847020373242867E10,2.976369565340894E10,2.9811987568498756E10,3.082926151203105E10,3.1729450168186962E10,3.289809424852525E10,3.3025405223995396E10,3.347674777125944E10,3.480694618830207E10,3.487422790027249E10,3.4932703334900665E10,3.5717295592796364E10,3.573024706873218E10,3.7500476735445526E10,3.755216094420032E10,3.788472927011252E10,3.8290148978251526E10,3.829966744107879E10,3.8686010345586006E10,3.9361256140980515E10,4.072390143533372E10,4.073748133712137E10,4.086241695620401E10,4.259168554998651E10,4.273565658178585E10,4.334853059690662E10,4.3917205853513115E10
1.2828170002158321E7,3.994482888416114E9,5.501735914471312E9,9.393923050582628E9,9.785850345751265E9,1.0748779286650978E10,1.1123594093958036E10,1.3692208747904886E10,1.70714638011213E10,1.7948825499244267E10,1.9712931981259827E10,2.0416914258814884E10,2.1558406334505985E10,2.1725247626310844E10,2.3138608740003616E10,2.3955708604849308E10,2.4457864410598076E10,2.5010914393005466E10,2.5258876805975655E10,2.623400769734854E10,2.739151269243165E10,2.755646517043223E10,2.7884062995348896E10,2.8476466062981976E10,2.884535795355193E10,2.9680724715446312E10,2.9734808062795036E10,3.0882433758115273E10,3.1770068627301323E10,3.2983870467116276E10,3.2994744738821598E10,3.3384968988084694E10,3.486011168570326E10,3.496375827739515E10,3.501291330106912E10,3.571272905791482E10,3.5810234200310165E10,3.748405245713537E10,3.751841526847354E10,3.77834773077321E10,3.8264467558093735E10,3.8335392807982864E10,3.859119128725212E10,3.923664872733277E10,4.070577109419047E10,4.0754058062497536E10,4.075663438534604E10,4.263472000771381E10,4.27965721489054E10,4.337057546901599E10,4.393594255662949E10
1.3089969389957473E7,4.0542131494004326E9,5.619667960622621E9,9.313640615528688E9,9.715751110550089E9,1.0837438996256208E10,1.117106735786753E10,1.361263204672737E10,1.7070554240034128E10,1.7951448052653374E10,1.9783780466625256E10,2.0471109275698414E10,2.1511988152549747E10,2.164153789341531E10,2.3174773437442795E10,2.39964415489102E10,2.446530583007618E10,2.501870374939995E10,2.534364700413247E10,2.6283974167191235E10,2.7379902837489243E10,2.7560110959670555E10,2.787890194432518E10,2.8361169998235977E10,2.884797933667123E10,2.9555631174067875E10,2.9706453848984467E10,3.0935097915598488E10,3.1811704411135536E10,3.2942333477643265E10,3.3088162542797417E10,3.329556433414506E10,3.480345708472168E10,3.510616696371527E10,3.5151197825780785E10,3.5710463166295494E10,3.588474356129789E10,3.7465002131304794E10,3.747721388931368E10,3.767951367734575E10,3.823804436198783E10,3.8383414453380104E10,3.850367520238044E10,3.911751773690231E10,4.057917375406878E10,4.0754663747332275E10,4.0773958830246605E10,4.2670411464774536E10,4.286313011125808E10,4.339037557874368E10,4.395473375438495E10
1.3351768777756622E7,4.1100046981448426E9,5.731500009304946E9,9.238848432596899E9,9.646809995996344E9,1.0918236533251778E10,1.1217179909334726E10,1.3537490118209389E10,1.707003572193011E10,1.7954172011923237E10,1.985510980042267E10,2.052592900101028E10,2.1456600997371174E10,2.1567381861249115E10,2.3205757832848297E10,2.4038901988103386E10,2.4471889705798954E10,2.5026530530723015E10,2.5422509708645184E10,2.6329071290049004E10,2.7366690883130436E10,2.756463977231162E10,2.787463545406826E10,2.8255126237027523E10,2.885230293201404E10,2.9437522361196438E10,2.9678925911170338E10,3.0986736510228546E10,3.1854257097664577E10,3.2901155320019215E10,3.3177500201561626E10,3.3208972039022392E10,3.474904353278217E10,3.524640746878205E10,3.528872214116957E10,3.571171168695635E10,3.59534399618382E10,3.742719340414827E10,3.744255026766719E10,3.757793805806718E10,3.8210595368779945E10,3.841655219540538E10,3.844809098900473E10,3.9005670223989716E10,4.0444189538361885E10,4.076435856404756E10,4.0789497803601875E10,4.270054997920576E10,4.293317233918186E10,4.3407916829641815E10,4.397346214519354E10
1.3613568165555771E7,4.161445579433818E9,5.836308656548361E9,9.17014685340132E9,9.580067348343887E9,1.0990917848811455E10,1.1261391639777468E10,1.346731200411788E10,1.7069829649191702E10,1.7956891617779385E10,1.9926666666937767E10,2.0580958923152233E10,2.139006254272606E10,2.1505354478074844E10,2.3231899070576256E10,2.40819780134345E10,2.4477558503066486E10,2.503441338219601E10,2.549480632311898E10,2.6369296733822582E10,2.735177778188617E10,2.7569972019284733E10,2.787118936824761E10,2.815997205336882E10,2.8857447546006958E10,2.932729587615696E10,2.9652563260724373E10,3.103673281319002E10,3.1897550526416004E10,3.2860813784120632E10,3.312562325336679E10,3.3261838691524784E10,3.469935606127671E10,3.537845708862641E10,3.542511381650423E10,3.5719575729338936E10,3.601604889020083E10,3.736713077121522E10,3.741580789033564E10,3.748171002127821E10,3.818192498201581E10,3.835101092292644E10,3.850771398463603E10,3.890305948242783E10,4.0310319528928955E10,4.077390416166044E10,4.0803291239869644E10,4.272638132016483E10,4.3005123293585846E10,4.3423226879259384E10,4.399196881082456E10
1.3875367553354919E7,4.208118173455574E9,5.933059251600402E9,9.108073613905516E9,9.51666149558782E9,1.1055309984275381E10,1.1303089234094769E10,1.3402704900077843E10,1.706985933197593E10,1.795951223828808E10,1.9998082922677982E10,2.063565244889372E10,2.131580443906788E10,2.145265214173967E10,2.3253626246546593E10,2.412443090254821E10,2.448225980974303E10,2.5042220133930344E10,2.556000266804478E10,2.640466527641909E10,2.733523814136458E10,2.757597007081518E10,2.7868478091445942E10,2.807671019590919E10,2.8862969329342674E10,2.922593802853798E10,2.9627748496781456E10,3.1084359017705482E10,3.1941293233058117E10,3.2821917934889824E10,3.3046044365882603E10,3.334014992642585E10,3.465489860658695E10,3.549276140252152E10,3.555991549840339E10,3.5742396333479576E10,3.607236762758084E10,3.729645286604806E10,3.73838668861646E10,3.739287749271113E10,3.815208977641865E10,3.8291133221094765E10,3.8577983831094E10,3.8811613256177E10,4.017856323484169E10,4.078264969502308E10,4.0815375438853874E10,4.274860642843011E10,4.30779790797585E10,4.343636840006648E10,4.4010039791803314E10
1.413716694115407E7,4.2496085392436466E9,6.020612089919762E9,9.05312357605623E9,9.4578232482737E9,1.1111290683373863E10,1.1341584675618948E10,1.3344353889970873E10,1.707005185209501E10,1.7961950541293137E10,2.0068803742218567E10,2.0689226446050747E10,2.123946830982782E10,2.1404682896179726E10,2.3271397536276245E10,2.4164967750020737E10,2.448595503113033E10,2.5049746874537567E10,2.5617620291497395E10,2.643520474059941E10,2.73174269526381E10,2.75824223142609E10,2.7866407890611774E10,2.8005895579077335E10,2.886855624588675E10,2.913452381580818E10,2.9604902381010395E10,3.1128770713741913E10,3.1985015401860874E10,3.2785215385637955E10,3.297088843958382E10,3.3411349864768703E10,3.461595705365673E10,3.557144774650144E10,3.569248373900888E10,3.579664909682966E10,3.612228256188031E10,3.7216159279126755E10,3.73123659683971E10,3.734602054437931E10,3.8121609164036354E10,3.824125749924491E10,3.865394542472001E10,3.873293473818675E10,4.004959801935914E10,4.079040379558066E10,4.0825782764315475E10,4.2767593441240906E10,4.315108189534667E10,4.344743082852447E10,4.397810236491911E10
1.4398966328953218E7,4.285517703956349E9,6.097743406965041E9,9.005752381596432E9,9.40485523581307E9,1.1158771947099293E10,1.1376123748918709E10,1.3293012242994762E10,1.7070339857711647E10,1.7964134547110847E10,2.0137959649434227E10,2.074041546897391E10,2.11654727459785E10,2.1358883630891544E10,2.3285651997550137E10,2.4202298776695545E10,2.448863466309118E10,2.5056749553575314E10,2.5667221155416824E10,2.6460951370705482E10,2.729906433751174E10,2.75890310331916E10,2.786488092675115E10,2.7947631043497E10,2.8873933480033287E10,2.9054206265329304E10,2.958447374710961E10,3.1169012651800854E10,3.202796825739326E10,3.275158665934568E10,3.2901065633562794E10,3.347429743115121E10,3.458273473955088E10,3.5609280179760704E10,3.582179198893239E10,3.5885646225657486E10,3.616581952857771E10,3.712866004842771E10,3.7240419240012405E10,3.730216779569678E10,3.809161462432591E10,3.82011565793576E10,3.866796077053301E10,3.8734546315930466E10,3.992424544653599E10,4.079707136449957E10,4.0834541445946655E10,4.27835314057131E10,4.322394529417901E10,4.345652070650774E10,4.391973803804682E10
1.4660765716752369E7,4.315474534400619E9,6.163186761022033E9,8.966371764002636E9,9.359090655563656E9,1.1197690249135134E10,1.1405908972395657E10,1.3249477651015959E10,1.7070663234714561E10,1.7966003597751556E10,2.020413392322003E10,2.0786851241471176E10,2.109808707807587E10,2.131451010040514E10,2.329677872236553E10,2.4235174421582294E10,2.4490342091027515E10,2.5062965474473103E10,2.570840878284285E10,2.648194505985394E10,2.7281241840139175E10,2.7595410822294994E10,2.786379983432297E10,2.790157636913399E10,2.8878833674069923E10,2.8986188748408237E10,2.956692303478576E10,3.120404327071192E10,3.2068968085951412E10,3.2722019099898773E10,3.2837895444484478E10,3.3527840647033554E10,3.4555382234548706E10,3.562484155050872E10,3.5945957725952255E10,3.598798692497155E10,3.620332703808208E10,3.703644876884351E10,3.7178069752948074E10,3.725342403510378E10,3.80637784209214E10,3.817007732001258E10,3.8616765208486336E10,3.8818473065840164E10,3.980375952929226E10,4.0802592529434814E10,4.084167545712272E10,4.2796515733600395E10,4.329612530018261E10,4.3463751221219795E10,4.38586056401212E10
1.4922565104551518E7,4.339149527644311E9,6.215698704001123E9,8.935340464663303E9,9.321827631561811E9,1.122800023571939E10,1.1430140790383142E10,1.3214550457713284E10,1.7070970605646107E10,1.7967508275011772E10,2.026494639297708E10,2.0823570006709064E10,2.1043879903260197E10,2.1272107693266033E10,2.33051005999512E10,2.4262406003670532E10,2.449120358821039E10,2.506813418969845E10,2.574083597017395E10,2.6498224852049362E10,2.7265312162870735E10,2.7601106142829197E10,2.786307274114692E10,2.7867047678939606E10,2.8882994919516567E10,2.8931672775250523E10,2.9552698298604362E10,3.1232786354144505E10,3.210617859917811E10,3.2697552283889736E10,3.2783325380114113E10,3.3570874484267414E10,3.453400952299268E10,3.563163513711229E10,3.606087231309807E10,3.608592167495987E10,3.623619935757853E10,3.694249879377169E10,3.7127126238062126E10,3.720288469727425E10,3.803997427341031E10,3.814710368642595E10,3.857866242896685E10,3.8903437041938354E10,3.96903983442763E10,4.080692580426458E10,4.084720444575477E10,4.280659312964827E10,4.336705887528626E10,4.34692317887945E10,4.379617157043177E10
1.5184364492350666E7,4.356268567245654E9,6.254147874956352E9,8.91295327733302E9,9.294240103273413E9,1.1249670445636934E10,1.1448077747557255E10,1.3188973081323267E10,1.707122061370597E10,1.79686102952437E10,2.0316397100772907E10,2.0841897254963104E10,2.1013224329321392E10,2.1233787449684982E10,2.331086800240981E10,2.428288698321448E10,2.44914497260056E10,2.5072019736400723E10,2.576421542025238E10,2.650982507595803E10,2.7252679250861E10,2.76056353330109E10,2.7843204220164513E10,2.786261873482928E10,2.888617448040684E10,2.889177614282289E10,2.954220401822165E10,3.1254215066998135E10,3.2136898652189255E10,3.267919024341198E10,3.274014340569908E10,3.360241434478566E10,3.451869382019861E10,3.563479056853488E10,3.6155844841384544E10,3.616799866902588E10,3.626958376469372E10,3.68524720088589E10,3.708935073942548E10,3.7156339411916466E10,3.802184892994663E10,3.813137531088569E10,3.8552567499069725E10,3.8984652394857796E10,3.958892241910563E10,4.081004193627045E10,4.0851143700143265E10,4.281378524872254E10,4.343562547107002E10,4.347305852928564E10,4.373366214125362E10
1.5446163880149815E7,4.366625478150799E9,6.277618701617563E9,8.899430183197474E9,9.277274090286413E9,1.1262680353460255E10,1.1459110240410597E10,1.317335598795925E10,1.7071382956965641E10,1.7969282403718136E10,2.0352301152280354E10,2.0840401496806183E10,2.100865977822276E10,2.1204483917675163E10,2.3314257978422844E10,2.429565037167114E10,2.4491393544917446E10,2.507443300306378E10,2.577833116768542E10,2.651677233400425E10,2.7244554963284576E10,2.7608561063834908E10,2.7829263920350132E10,2.786237373335115E10,2.8867424856685337E10,2.8888171623057804E10,2.9535765549148167E10,3.1267464010143433E10,3.2157640590968746E10,3.266778553949149E10,3.271189944272358E10,3.3621677109535473E10,3.450948561421705E10,3.563620571427274E10,3.621043852479572E10,3.6223772539765335E10,3.6311224689525505E10,3.677918877975512E10,3.7066099966047104E10,3.712227209043742E10,3.801055558898109E10,3.812221892877321E10,3.8537411665625244E10,3.905083490388153E10,3.951059379899131E10,4.081192122559249E10,4.085350413585597E10,4.281810130870811E10,4.347530631929215E10,4.349797521824112E10,4.3674941652034874E10
