% Model:              phononic_alp0(thickness200,r85,isotrope,50eigenvalues-Size60).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 1 2024, 13:54
% Dimension:          1
% Nodes:              1891
% Expressions:        50
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
3141592.6535897935,5.552722073839953E8,9.568678507665046E8,3.220397443664486E9,9.750351190035093E9,9.970122646258333E9,1.4157383134883068E10,1.7532601018568542E10,1.786533542677006E10,1.7938039531972633E10,1.8754642407292744E10,1.9576097731334305E10,2.033487422718211E10,2.129353443215473E10,2.2140044153289963E10,2.2265215260030502E10,2.386125926015217E10,2.3932422651718098E10,2.522886172272336E10,2.596878254806322E10,2.747403837207011E10,2.8061902721966835E10,2.8451708490233555E10,2.8517710692345585E10,2.950755382914138E10,2.9754197072803776E10,2.9894755136106003E10,3.0321715724890236E10,3.043643760526725E10,3.0987449840104885E10,3.1713292573371624E10,3.415887392121484E10,3.562337272693543E10,3.595571423777456E10,3.650515156103117E10,3.728391001725959E10,3.763645815488762E10,3.773146861565981E10,3.7780988551892296E10,3.7858916478057724E10,3.867139943005424E10,3.9260654338361946E10,3.935546501659843E10,3.9938307927519066E10,4.027257469641259E10,4.049552023808457E10,4.2568991575198265E10,4.3076172401731895E10,4.364331401094608E10,4.423867380559178E10,4.461666805543306E10
3403392.041388943,6.45759546190961E8,1.0377677175403558E9,3.48334323011313E9,9.765931618273811E9,1.0015693742398674E10,1.4034765194429016E10,1.7518970028090588E10,1.781784196062474E10,1.7896809994958633E10,1.8719347701050125E10,1.957667804151328E10,2.044966616353955E10,2.1314647552365757E10,2.2261793512930206E10,2.2264208304733807E10,2.38574836786909E10,2.3940181080849277E10,2.521901448577903E10,2.584444015241361E10,2.747973259505541E10,2.8025619131697483E10,2.8493554380186462E10,2.85000516219769E10,2.9527812334133327E10,2.9861844711182083E10,2.998148611600138E10,3.0318582261725716E10,3.042936607415134E10,3.1005900327170307E10,3.1806440199822117E10,3.414224331861393E10,3.547546430023605E10,3.575245189426967E10,3.645930567865475E10,3.719847101173643E10,3.7635654339052025E10,3.7732790609488174E10,3.777216415145746E10,3.785810716149985E10,3.872144356126068E10,3.931605253270848E10,3.9347613726926056E10,3.9970191546368324E10,4.040322870675365E10,4.054747554496418E10,4.251070554524031E10,4.296781858212784E10,4.362711366398038E10,4.420109138540989E10,4.461786392224435E10
3665191.4291880922,7.417488522286983E8,1.1189260014866867E9,3.744938768391989E9,9.782772806848999E9,1.0062455704516697E10,1.3908384771422922E10,1.7504542727728165E10,1.769575766814573E10,1.792897622538492E10,1.8682509884832245E10,1.9577704602338734E10,2.056934876309347E10,2.1337559361750835E10,2.2257774585184483E10,2.23903835937131E10,2.3853626719101654E10,2.394855816333509E10,2.52087265432666E10,2.572031885517878E10,2.7485201609371468E10,2.7991341320129105E10,2.848170451995058E10,2.8529610912421978E10,2.9549089917421753E10,2.9972270494518974E10,3.007227521717759E10,3.032059686778875E10,3.042270493295498E10,3.102668714317591E10,3.19012280575486E10,3.4124354129022675E10,3.5325520090724236E10,3.5548053554308395E10,3.6414701248454216E10,3.710910856031665E10,3.7625974793025154E10,3.773439887699022E10,3.776544280259645E10,3.785508600188742E10,3.876538115265824E10,3.9347643808914085E10,3.937032593949727E10,4.000733895689536E10,4.052870207227972E10,4.059908987155108E10,4.244734502663641E10,4.285726158814238E10,4.361337926651806E10,4.416203024763035E10,4.459310737779628E10
3926990.8169872416,8.429299096482801E8,1.2003546197066433E9,4.005060973331464E9,9.800877270670921E9,1.0109941081771194E10,1.3778802959352034E10,1.748938592577981E10,1.7572217688525127E10,1.7961844022218086E10,1.8644387624568787E10,1.9579251506262836E10,2.069333052695995E10,2.136230149593153E10,2.22531065594193E10,2.251808203225728E10,2.384972536726788E10,2.3957563481738956E10,2.5198066268241074E10,2.559649621833975E10,2.749034806032328E10,2.795897639266877E10,2.846275580568496E10,2.8560578612681023E10,2.9571330520909073E10,3.008538722435883E10,3.0164704742042862E10,3.032781741959824E10,3.0417606392453648E10,3.1050298693617016E10,3.1997366833173862E10,3.410523085048379E10,3.517367295271835E10,3.534290431336972E10,3.6371413935848274E10,3.701660037155505E10,3.760726939628476E10,3.77362777301679E10,3.7760141440139244E10,3.7850326426302826E10,3.880260364391977E10,3.9355606570444664E10,3.942341006087884E10,4.004980087435971E10,4.064835002282246E10,4.065040294502072E10,4.237919374699961E10,4.274549153787597E10,4.3602098203670074E10,4.4120578574186554E10,4.454249846762438E10
4188790.204786391,9.48994102443488E8,1.2820636114239233E9,4.2635823706085544E9,9.820247407364498E9,1.015767655968507E10,1.3646513999310953E10,1.7447580403914417E10,1.7473570543377964E10,1.799544420101589E10,1.860524675582675E10,1.9581393342290108E10,2.082106242981054E10,2.138890868084921E10,2.2247740351404003E10,2.264687659907063E10,2.384581570647005E10,2.3967213916553562E10,2.5187103290596107E10,2.5473045227149525E10,2.7495085616469727E10,2.7928432412974384E10,2.8443285227948013E10,2.8587143164913635E10,2.9594487711492622E10,3.020110266156509E10,3.0253430943489147E10,3.0340269918310658E10,3.041796269027837E10,3.1077430863737206E10,3.2094508705844257E10,3.4084901886207607E10,3.502004551559281E10,3.5137438588118065E10,3.6329500820989845E10,3.692147266556078E10,3.757966842236959E10,3.7738421551086296E10,3.775581833611026E10,3.784418401887335E10,3.8832862776256836E10,3.937128063525724E10,3.947524911391844E10,4.009739306215621E10,4.070146421181892E10,4.076129496688237E10,4.230657836562701E10,4.263369515024667E10,4.3593185828690285E10,4.4075418213341774E10,4.448785448272197E10
4450589.59258554,1.0596364890904691E9,1.3640609597175465E9,4.520370753959592E9,9.840885426213486E9,1.0205186455855E10,1.3511954074271236E10,1.732214633968735E10,1.7457171277367172E10,1.8029820174388428E10,1.85653582042246E10,1.95842047881641E10,2.095203665624662E10,2.141741835287923E10,2.2241630436416935E10,2.2776382270592793E10,2.3841932699125854E10,2.3977537638092663E10,2.5175907910143936E10,2.5350036130660236E10,2.7499340748703968E10,2.789961929181149E10,2.8423366552765533E10,2.8609940511585537E10,2.9618524133132587E10,3.0319319220175877E10,3.0321279750528755E10,3.0357947932855106E10,3.0439266615093456E10,3.1109064658489525E10,3.2192208617882576E10,3.406339960093964E10,3.4864755080790054E10,3.493218507250553E10,3.6289002876888084E10,3.682409555609053E10,3.754354728402996E10,3.774083177521635E10,3.775218155440812E10,3.783693161358746E10,3.885622138985073E10,3.939420509238522E10,3.952579086979958E10,4.0149702877387955E10,4.075233235662388E10,4.0866280013675316E10,4.2229849215987785E10,4.252340682332817E10,4.3586511787916176E10,4.402480581889035E10,4.443152269530098E10
4712388.98038469,1.174557471514113E9,1.446352401419501E9,4.775288843414524E9,9.862793269644917E9,1.02519960749789E10,1.3375509405127277E10,1.7196169833234863E10,1.7440266214581493E10,1.806502185779453E10,1.8524995804539948E10,1.9587760302425304E10,2.108578353524001E10,2.14478701619267E10,2.223473546214823E10,2.2906237660564964E10,2.383811005912717E10,2.3988580607997616E10,2.516455051887995E10,2.5227538384755573E10,2.750305394392782E10,2.7872449484636063E10,2.8403068315681316E10,2.86295388293773E10,2.9643410897661545E10,3.034521017505393E10,3.0380811742069824E10,3.0439933425365543E10,3.0502584423221596E10,3.1146546990822273E10,3.2289859519113625E10,3.404076027111636E10,3.470791765503632E10,3.47278362107966E10,3.624994673359859E10,3.672474182753438E10,3.749946596738237E10,3.7743515066554665E10,3.774903292260285E10,3.782878348845329E10,3.88729859188998E10,3.942373868070998E10,3.957498226670522E10,4.020612522737973E10,4.080307491940213E10,4.096143850901728E10,4.2149365621553375E10,4.241674337584603E10,4.358192123612784E10,4.396674435505809E10,4.437628210517115E10
4974188.368183839,1.293464082461061E9,1.5289412234157567E9,5.028193947494867E9,9.885972526481997E9,1.029763496841426E10,1.3237523508822796E10,1.706986822544308E10,1.7422936400953907E10,1.8101101383213814E10,1.8484434005958103E10,1.9592133911413406E10,2.1221867097438984E10,2.1480305355955414E10,2.2227018740387257E10,2.303608461743294E10,2.3834380212848495E10,2.400041759418882E10,2.5105622636673103E10,2.515310126329744E10,2.7506180313474735E10,2.7846838538971355E10,2.8382454586015564E10,2.864643294412776E10,2.9669126964474438E10,3.0344989975222496E10,3.0408787203225956E10,3.056283493513926E10,3.0585852717541283E10,3.1191622878984985E10,3.2386577148926563E10,3.4017023921124035E10,3.45253676056248E10,3.4549651655432495E10,3.6212345974169716E10,3.662362282387689E10,3.7448099472515305E10,3.774622046556546E10,3.774649587525884E10,3.781991190604804E10,3.8883629648403885E10,3.945912850919305E10,3.9622765247781944E10,4.026591499121613E10,4.0853767955977295E10,4.10439498164789E10,4.206548655341241E10,4.2316751749786674E10,4.3579250421225006E10,4.389945164784379E10,4.4324819135115776E10
5235987.7559829885,1.4160709223858418E9,1.6118280433529458E9,5.278937633100188E9,9.910424336036379E9,1.0341640144844307E10,1.3098303598029898E10,1.694342911325421E10,1.7405265369717873E10,1.8138110211460907E10,1.84439454551299E10,1.9597399082412464E10,2.135987948674169E10,2.1514766044051487E10,2.2218448612724033E10,2.316554123404824E10,2.3830774345650852E10,2.4013171709168423E10,2.4984364001062553E10,2.514162893068064E10,2.750868959824343E10,2.782270551960552E10,2.8361585709246426E10,2.8661046585599834E10,2.9695658539950645E10,3.0337720369518993E10,3.044176352594313E10,3.066948083697099E10,3.068790484245268E10,3.124630590156274E10,3.2480983195534782E10,3.3992234041672894E10,3.43262592709667E10,3.439008178561401E10,3.617620210493877E10,3.652091065367066E10,3.739017396760928E10,3.774368172253027E10,3.7749751712481285E10,3.781045843405168E10,3.8888719409458824E10,3.949957352062648E10,3.966907235481368E10,4.032824020977402E10,4.0904495689669914E10,4.110961707190532E10,4.197856644437471E10,4.222783366760427E10,4.357833715106263E10,4.3821986403697845E10,4.427904756404279E10
5497787.143782138,1.5421007806878493E9,1.6950105724805791E9,5.527365407701659E9,9.936149281921225E9,1.038355927444086E10,1.2958126167588648E10,1.681701609442393E10,1.738733863342852E10,1.817609728430662E10,1.8403798455562065E10,1.960362867087753E10,2.1499434222371696E10,2.1551294333403385E10,2.220899868819616E10,2.3294159350307747E10,2.382732253027232E10,2.4027050963455803E10,2.486384462204498E10,2.5130201412006126E10,2.7510565613081287E10,2.7799973332501972E10,2.8340519007087425E10,2.8673738827430603E10,2.9722998513179867E10,3.032773185999738E10,3.0479590649553093E10,3.0746870875467606E10,3.0815012805466087E10,3.131245518366797E10,3.2570775860858017E10,3.3966437187730297E10,3.4132930462805817E10,3.4229343682378845E10,3.614150527406624E10,3.641675223861249E10,3.732641739815289E10,3.774130658297062E10,3.77533369806561E10,3.780054173729275E10,3.888885554782654E10,3.9544273937919586E10,3.971382159508091E10,4.039222389750082E10,4.095535010051042E10,4.1152672199796425E10,4.1888955584127335E10,4.215594173055367E10,4.357902713974229E10,4.3734595579021324E10,4.423971923963656E10
